iter,train_loss,lr,mfu,dt_ms,tokens_seen
1930,3.8915,0.0190666,0.0968,2055.89,189726720
1940,3.9817,0.01905371,0.0976,2058.53,190709760
1950,4.3166,0.01904074,0.0983,2055.95,191692800
1960,4.0794,0.01902768,0.0989,2057.36,192675840
1970,4.0389,0.01901454,0.0995,2054.64,193658880
1980,3.9446,0.01900132,0.1,2056.7,194641920
1990,3.707,0.01898801,0.1005,2055.03,195624960
2000,4.2664,0.01897462,0.0936,6888.53,196608000
2010,4.1623,0.01896115,0.0947,2052.1,197591040
2020,3.6064,0.01894759,0.0957,2052.63,198574080
2030,4.1576,0.01893395,0.0966,2051.84,199557120
2040,4.2424,0.01892023,0.0975,2053.17,200540160
2050,3.8695,0.01890642,0.0982,2051.54,201523200
2060,4.0629,0.01889253,0.0989,2051.47,202506240
2070,4.5461,0.01887856,0.0995,2052.73,203489280
2080,4.3547,0.01886451,0.1,2052.18,204472320
2090,3.9145,0.01885038,0.1005,2052.1,205455360
2100,3.6275,0.01883616,0.0949,4858.64,206438400
2110,4.1966,0.01882186,0.0959,2051.92,207421440
2120,4.3869,0.01880748,0.0968,2052.53,208404480
2130,4.222,0.01879302,0.0976,2052.45,209387520
2140,3.7364,0.01877847,0.0983,2053.61,210370560
2150,4.2257,0.01876385,0.099,2051.49,211353600
2160,4.0697,0.01874914,0.0996,2052.22,212336640
2170,4.2903,0.01873435,0.1001,2052.61,213319680
2180,3.9901,0.01871948,0.1006,2051.8,214302720
2190,3.905,0.01870453,0.101,2053.02,215285760
2200,3.7438,0.0186895,0.0941,6763.65,216268800
2210,3.7465,0.01867439,0.0952,2055.7,217251840
2220,3.6929,0.0186592,0.0961,2054.91,218234880
2230,4.1276,0.01864393,0.097,2056.35,219217920
2240,4.3293,0.01862858,0.0978,2055.46,220200960
2250,4.2488,0.01861315,0.0985,2057.91,221184000
2260,3.8704,0.01859763,0.0991,2057.15,222167040
2270,3.6566,0.01858204,0.0996,2055.31,223150080
2280,4.3536,0.01856637,0.1001,2057.05,224133120
2290,4.2033,0.01855062,0.1006,2057.16,225116160
2300,4.2932,0.01853479,0.095,4863.12,226099200
2310,4.0969,0.01851888,0.096,2053.11,227082240
2320,4.1493,0.0185029,0.0969,2052.03,228065280
2330,3.9753,0.01848683,0.0977,2052.37,229048320
2340,4.6613,0.01847068,0.0984,2052.64,230031360
2350,4.1764,0.01845446,0.099,2052.85,231014400
2360,4.5327,0.01843816,0.0996,2052.28,231997440
2370,4.0827,0.01842178,0.1001,2052.75,232980480
2380,4.2278,0.01840532,0.1006,2052.05,233963520
2390,4.1547,0.01838878,0.101,2053.04,234946560
2400,3.7495,0.01837217,0.0941,6851.39,235929600
2410,4.5781,0.01835548,0.0952,2050.99,236912640
2420,4.1081,0.01833871,0.0961,2052.62,237895680
2430,4.1822,0.01832186,0.097,2051.59,238878720
2440,4.1916,0.01830494,0.0978,2051.86,239861760
2450,3.8199,0.01828794,0.0985,2051.99,240844800
2460,3.4134,0.01827086,0.0992,2052.06,241827840
2470,4.3354,0.01825371,0.0997,2051.99,242810880
2480,4.1349,0.01823648,0.1003,2051.46,243793920
2490,4.0461,0.01821917,0.1007,2052.24,244776960
2500,4.0453,0.01820179,0.0939,6731.5,245760000
2510,3.5368,0.01818433,0.0949,2056.07,246743040
2520,3.768,0.01816679,0.0959,2055.34,247726080
2530,4.1866,0.01814918,0.0968,2055.08,248709120
2540,4.1908,0.0181315,0.0976,2054.94,249692160
2550,3.7393,0.01811374,0.0983,2056.04,250675200
2560,4.3912,0.0180959,0.099,2055.52,251658240
2570,4.0045,0.01807799,0.0995,2055.83,252641280
2580,4.2085,0.01806,0.1001,2055.09,253624320
2590,3.8712,0.01804194,0.1005,2054.58,254607360
2600,4.0568,0.0180238,0.0937,6751.79,255590400
2610,3.5953,0.01800559,0.0948,2048.26,256573440
2620,4.0976,0.01798731,0.0958,2049.01,257556480
2630,4.0724,0.01796895,0.0968,2050.06,258539520
2640,3.9062,0.01795052,0.0976,2049.69,259522560
2650,4.2489,0.01793201,0.0983,2051.41,260505600
2660,3.7705,0.01791343,0.099,2051.35,261488640
2670,3.9917,0.01789478,0.0996,2051.11,262471680
2680,4.3296,0.01787605,0.1001,2049.88,263454720
2690,3.4674,0.01785726,0.1006,2050.77,264437760
2700,4.111,0.01783838,0.0938,6682.84,265420800
2710,3.9697,0.01781944,0.0949,2049.25,266403840
