iter,train_loss,lr,mfu,dt_ms,tokens_seen
1640,4.1666,1.930710e-02,0.0054,4553.58,53739520
1650,4.6927,1.929503e-02,0.0055,4563.17,54067200
1660,4.7748,1.928287e-02,0.0055,4553.52,54394880
1670,4.9994,1.927061e-02,0.0056,4549.73,54722560
1680,5.0252,1.925824e-02,0.0056,4569.86,55050240
1690,4.6900,1.924578e-02,0.0056,4550.89,55377920
1700,4.7079,1.923322e-02,0.0052,25623.15,55705600
1710,4.7564,1.922055e-02,0.0053,4567.06,56033280
1720,4.7403,1.920779e-02,0.0053,4569.69,56360960
1730,4.8275,1.919493e-02,0.0054,4567.96,56688640
1740,4.8740,1.918197e-02,0.0054,4555.25,57016320
1750,4.8739,1.916891e-02,0.0055,4568.66,57344000
1760,4.9004,1.915575e-02,0.0055,4567.20,57671680
1770,4.6846,1.914249e-02,0.0056,4556.48,57999360
1780,4.7122,1.912913e-02,0.0056,4551.20,58327040
1790,4.9738,1.911568e-02,0.0056,4552.71,58654720
1800,4.8114,1.910212e-02,0.0052,25131.47,58982400
1810,4.6476,1.908847e-02,0.0053,4561.22,59310080
1820,4.8858,1.907472e-02,0.0053,4547.47,59637760
1830,4.6979,1.906088e-02,0.0054,4568.69,59965440
1840,4.9069,1.904693e-02,0.0054,4561.71,60293120
1850,4.7101,1.903289e-02,0.0055,4553.45,60620800
1860,4.6657,1.901875e-02,0.0055,4570.82,60948480
1870,4.7877,1.900451e-02,0.0056,4558.17,61276160
1880,4.9254,1.899018e-02,0.0056,4564.05,61603840
1890,5.0228,1.897575e-02,0.0056,4571.30,61931520
1900,4.8564,1.896122e-02,0.0052,25630.11,62259200
1910,5.0175,1.894659e-02,0.0053,4569.78,62586880
1920,4.8255,1.893187e-02,0.0053,4553.11,62914560
1930,4.8231,1.891705e-02,0.0054,4569.35,63242240
1940,4.9286,1.890214e-02,0.0054,4558.58,63569920
1950,4.5768,1.888713e-02,0.0055,4547.28,63897600
1960,4.5016,1.887203e-02,0.0055,4565.01,64225280
1970,4.8472,1.885682e-02,0.0056,4554.48,64552960
1980,4.6885,1.884153e-02,0.0056,4557.27,64880640
1990,4.7885,1.882613e-02,0.0056,4567.89,65208320
2000,4.8342,1.881065e-02,0.0052,25611.26,65536000
2010,4.8320,1.879506e-02,0.0053,4568.90,65863680
2020,4.6844,1.877939e-02,0.0053,4551.40,66191360
2030,4.9065,1.876362e-02,0.0054,4557.56,66519040
2040,4.6355,1.874775e-02,0.0054,4568.10,66846720
2050,4.7672,1.873179e-02,0.0055,4566.84,67174400
2060,5.0125,1.871573e-02,0.0055,4560.27,67502080
2070,4.6697,1.869958e-02,0.0056,4573.74,67829760
2080,4.2674,1.868334e-02,0.0056,4573.83,68157440
2090,4.8679,1.866701e-02,0.0056,4568.28,68485120
2100,4.7663,1.865058e-02,0.0052,25641.80,68812800
2110,4.5218,1.863405e-02,0.0053,4559.88,69140480
2120,4.8332,1.861744e-02,0.0053,4558.54,69468160
2130,4.8300,1.860073e-02,0.0054,4565.76,69795840
2140,4.7970,1.858392e-02,0.0054,4564.04,70123520
2150,4.9818,1.856703e-02,0.0055,4552.15,70451200
2160,4.8275,1.855004e-02,0.0055,4556.56,70778880
2170,5.0394,1.853296e-02,0.0056,4564.14,71106560
2180,4.6772,1.851579e-02,0.0056,4549.73,71434240
2190,4.9311,1.849853e-02,0.0056,4549.50,71761920
2200,4.7892,1.848118e-02,0.0052,25639.86,72089600
2210,4.9866,1.846373e-02,0.0053,4568.98,72417280
2220,4.6816,1.844619e-02,0.0053,4559.66,72744960
2230,4.7778,1.842856e-02,0.0054,4552.27,73072640
2240,4.7655,1.841084e-02,0.0054,4570.29,73400320
2250,4.5531,1.839303e-02,0.0055,4572.82,73728000
2260,5.1239,1.837513e-02,0.0055,4545.34,74055680
2270,4.6225,1.835714e-02,0.0056,4551.48,74383360
2280,4.8382,1.833906e-02,0.0056,4551.67,74711040
2290,4.9721,1.832089e-02,0.0056,4555.37,75038720
2300,5.0145,1.830263e-02,0.0052,25645.30,75366400
2310,4.4355,1.828428e-02,0.0053,4560.18,75694080
2320,4.8963,1.826584e-02,0.0053,4556.35,76021760
2330,4.8736,1.824731e-02,0.0054,4549.42,76349440
2340,4.7621,1.822869e-02,0.0054,4550.75,76677120
2350,4.3476,1.820999e-02,0.0055,4558.93,77004800
2360,4.8443,1.819119e-02,0.0055,4556.66,77332480
2370,4.9604,1.817231e-02,0.0056,4549.83,77660160
2380,4.7361,1.815334e-02,0.0056,4557.18,77987840
2390,4.8795,1.813428e-02,0.0056,4571.04,78315520
2400,4.8104,1.811513e-02,0.0052,25614.27,78643200
2410,4.7608,1.809590e-02,0.0053,4551.67,78970880
2420,4.9786,1.807658e-02,0.0053,4569.46,79298560
2430,4.7898,1.805717e-02,0.0054,4570.22,79626240
2440,4.6434,1.803767e-02,0.0054,4559.76,79953920
2450,4.9418,1.801809e-02,0.0055,4555.30,80281600
2460,4.7878,1.799842e-02,0.0055,4548.94,80609280
2470,4.9361,1.797867e-02,0.0056,4563.04,80936960
2480,4.9251,1.795883e-02,0.0056,4563.68,81264640
2490,4.8002,1.793890e-02,0.0056,4554.54,81592320
2500,5.1293,1.791889e-02,0.0052,25621.60,81920000
2510,4.4077,1.789879e-02,0.0053,4563.88,82247680
2520,4.7761,1.787861e-02,0.0053,4558.55,82575360
2530,4.7489,1.785834e-02,0.0054,4548.10,82903040
2540,4.7891,1.783799e-02,0.0054,4574.28,83230720
2550,4.7909,1.781755e-02,0.0055,4558.09,83558400
2560,4.7247,1.779703e-02,0.0055,4553.48,83886080
2570,4.5261,1.777642e-02,0.0056,4549.90,84213760
2580,4.9428,1.775574e-02,0.0056,4570.21,84541440
2590,4.6487,1.773496e-02,0.0056,4552.18,84869120
2600,4.5792,1.771411e-02,0.0052,25639.73,85196800
2610,4.6717,1.769317e-02,0.0053,4568.18,85524480
2620,4.2984,1.767215e-02,0.0053,4565.85,85852160
2630,4.5962,1.765104e-02,0.0054,4559.62,86179840
2640,4.9944,1.762985e-02,0.0054,4570.31,86507520
2650,4.5807,1.760858e-02,0.0055,4563.19,86835200
2660,4.6920,1.758723e-02,0.0055,4568.19,87162880
2670,4.6634,1.756580e-02,0.0056,4567.11,87490560
2680,4.8245,1.754428e-02,0.0056,4558.02,87818240
2690,4.8096,1.752269e-02,0.0056,4568.44,88145920
2700,5.0635,1.750101e-02,0.0052,25629.02,88473600
2710,4.7413,1.747925e-02,0.0053,4550.55,88801280
2720,4.3956,1.745741e-02,0.0053,4585.25,89128960
2730,5.0402,1.743550e-02,0.0054,4569.66,89456640
2740,4.9628,1.741350e-02,0.0054,4547.76,89784320
2750,4.8288,1.739142e-02,0.0055,4555.49,90112000
2760,4.8307,1.736926e-02,0.0055,4555.58,90439680
2770,4.8113,1.734702e-02,0.0056,4545.08,90767360
2780,4.6146,1.732470e-02,0.0056,4562.70,91095040
2790,4.9434,1.730231e-02,0.0056,4564.99,91422720
2800,4.5295,1.727983e-02,0.0052,25166.06,91750400
2810,4.3779,1.725728e-02,0.0053,4554.87,92078080
2820,4.7409,1.723465e-02,0.0053,4568.21,92405760
2830,4.7102,1.721194e-02,0.0054,4558.45,92733440
2840,4.2423,1.718915e-02,0.0054,4548.75,93061120
2850,4.6576,1.716628e-02,0.0055,4544.17,93388800
2860,4.6842,1.714334e-02,0.0055,4550.48,93716480
2870,4.6542,1.712032e-02,0.0056,4563.21,94044160
2880,4.6422,1.709723e-02,0.0056,4553.57,94371840
2890,4.5255,1.707405e-02,0.0056,4558.37,94699520
2900,4.8577,1.705081e-02,0.0052,25230.16,95027200
2910,4.4871,1.702748e-02,0.0053,4550.64,95354880
2920,4.8945,1.700408e-02,0.0053,4566.21,95682560
2930,4.4083,1.698061e-02,0.0054,4574.67,96010240
2940,4.5235,1.695705e-02,0.0054,4567.53,96337920
2950,4.4858,1.693343e-02,0.0055,4560.49,96665600
2960,4.4230,1.690973e-02,0.0055,4573.96,96993280
2970,4.6621,1.688595e-02,0.0056,4553.78,97320960
2980,4.5290,1.686210e-02,0.0056,4568.36,97648640
2990,4.3748,1.683818e-02,0.0056,4565.15,97976320
3000,4.5528,1.681418e-02,0.0052,25663.98,98304000
3010,4.5308,1.679011e-02,0.0053,4560.75,98631680
3020,4.5687,1.676597e-02,0.0053,4567.75,98959360
3030,4.9210,1.674175e-02,0.0054,4569.44,99287040
3040,4.5650,1.671746e-02,0.0054,4562.54,99614720
3050,4.9026,1.669310e-02,0.0055,4570.18,99942400
3060,4.6234,1.666867e-02,0.0055,4569.01,100270080
3070,4.7295,1.664417e-02,0.0056,4575.75,100597760
3080,4.6816,1.661959e-02,0.0056,4560.05,100925440
3090,4.7089,1.659494e-02,0.0056,4552.96,101253120
3100,4.8131,1.657022e-02,0.0052,25677.86,101580800
3110,4.8395,1.654543e-02,0.0053,4573.34,101908480
3120,4.7789,1.652057e-02,0.0053,4545.51,102236160
3130,4.5265,1.649564e-02,0.0054,4561.07,102563840
3140,4.3908,1.647064e-02,0.0054,4542.40,102891520
3150,4.4240,1.644557e-02,0.0055,4553.38,103219200
3160,4.6070,1.642043e-02,0.0055,4569.81,103546880
3170,4.4227,1.639522e-02,0.0056,4556.02,103874560
3180,4.6765,1.636994e-02,0.0056,4562.44,104202240
3190,4.3734,1.634460e-02,0.0056,4558.23,104529920
3200,4.8155,1.631918e-02,0.0052,25659.49,104857600
3210,4.5757,1.629370e-02,0.0053,4548.60,105185280
3220,4.5482,1.626815e-02,0.0053,4559.56,105512960
3230,4.3027,1.624253e-02,0.0054,4536.47,105840640
3240,4.7676,1.621684e-02,0.0054,4557.40,106168320
3250,4.5548,1.619109e-02,0.0055,4551.79,106496000
3260,4.5621,1.616527e-02,0.0055,4566.56,106823680
3270,4.5553,1.613939e-02,0.0056,4557.29,107151360
3280,4.7572,1.611344e-02,0.0056,4552.84,107479040
